1	0	11953864	1
1	0	11968052	1
1	0	12015083	1
1	0	11756412	1
1	0	11956602	1
1	0	12384701	1
1	0	12429910	1
1	0	12388558	1
1	0	12168821	1
1	0	12393707	1
1	0	12151395	1
1	0	12359245	1
1	0	12055678	1
1	0	12474524	1
1	0	11911463	1
1	0	12123335	1
1	0	12151346	1
1	0	11751903	1
1	0	11989975	1
1	0	11872638	1
1	0	12025230	1
1	0	11882322	1
1	0	12054572	1
1	0	12054658	1
1	0	12151347	1
1	0	12396717	1
1	0	12517948	1
1	0	11762751	1
1	0	12513833	1
1	0	11877274	1
1	0	12111504	1
3	0	12393285	1
3	0	11861293	1
3	0	12203785	1
3	0	12127395	1
3	0	12080468	1
3	0	12435397	1
4	0	11973338	1
4	0	12438323	1
4	0	12008951	1
5	0	11994009	1
5	0	12237328	1
5	0	11981020	1
5	0	12356883	1
5	0	12239220	1
6	0	12358858	1
6	0	11914751	1
6	0	12039527	1
6	0	12027934	1
6	0	12145745	1
6	0	12021143	1
6	0	11953202	1
6	0	12021132	1
7	0	11940567	1
7	0	12223098	1
7	0	12552091	1
7	0	12478664	1
8	0	12444891	1
8	0	12091390	1
8	0	12088926	1
9	0	12067712	1
9	0	11849386	1
10	0	12193972	1
10	0	12029084	1
10	0	12067914	1
10	0	12091344	1
10	0	12407115	1
10	0	12091346	1
10	0	12063259	1
11	0	12524240	1
11	0	12377770	1
11	0	12393431	1
11	0	12038964	1
11	0	12393632	1
11	0	12115629	1
11	0	12376551	1
11	0	12169092	1
12	0	12169652	1
13	0	12172548	1
14	0	12016229	1
14	0	11927599	1
14	0	11956181	1
14	0	12416978	1
15	0	12612883	1
16	0	11901185	1
18	0	11812769	1
18	0	11964087	1
18	0	12413694	1
18	0	12218135	1
20	0	12511596	1
20	0	12464266	1
20	0	11937135	1
20	0	12050361	1
20	0	11695234	1
20	0	12360487	1
20	0	12193747	1
22	0	12217324	1
22	0	11984876	1
22	0	12050144	1
23	0	11934646	1
23	0	12065840	1
23	0	12061819	1
23	0	11916959	1
23	0	12374739	1
24	0	12417719	1
25	0	11932921	1
27	0	12185001	1
28	0	12021067	1
28	0	12145054	1
28	0	11870074	1
28	0	11848443	1
28	0	11973468	1
28	0	12025859	1
29	0	12086933	1
31	0	12183023	1
31	0	12372698	1
31	0	12458035	1
32	0	12399419	1
32	0	12399409	1
32	0	12200235	1
32	0	12488358	1
34	0	12147209	1
34	0	12147208	1
34	0	12210105	1
36	0	12441298	1
36	0	11919715	1
37	0	12417656	1
38	0	12084706	1
39	0	11818059	1
39	0	12134162	1
40	0	12441298	1
40	0	12231627	1
42	0	12526813	1
42	0	11744384	1
42	0	11850624	1
42	0	12213838	1
44	0	12359426	1
45	0	11879186	1
45	0	11799118	1
46	0	12297987	1
46	0	12632434	1
48	0	12406895	1
48	0	12055248	1
50	0	12237116	1
